y	x	d15n.obs
-2.81667	-47.35000	10.72
-3.30000	-47.16667	8.76
-2.50000	-60.16667	8.60
-9.18333	-63.11667	10.05
-12.86667	-60.05000	11.18
-10.28333	-62.86667	9.84
-10.15000	-62.81667	12.00
-10.70000	-62.20000	10.93
-2.20000	-47.36667	8.64
-1.16750	-47.75222	5.81
-2.42472	-54.70417	9.30
-2.37000	-60.09000	9.44
0.41667	-65.85917	6.75
-15.15000	-47.51000	4.36
-8.42505	-36.46672	13.54
-8.49124	-36.37979	9.93
-8.94167	-36.69444	4.18
-7.66417	-40.17056	16.47
-7.57933	-40.11325	13.62
-7.66120	-39.96356	8.85
-8.23111	-37.78250	13.95
-7.39001	-37.24269	8.33
-8.03156	-37.68216	17.28
-7.40444	-35.18602	6.45
-7.53142	-35.47194	8.89
-8.20717	-35.34781	9.21
-14.10654	-47.70449	6.41
-14.10823	-47.71358	3.33
-14.10992	-47.72267	4.64
-14.11161	-47.73176	5.27
-14.10484	-47.69540	5.22
-14.11541	-47.70275	5.86
-14.11710	-47.71184	4.94
-14.11879	-47.72094	4.45
-14.12048	-47.73003	4.64
-14.11371	-47.69366	4.78
-15.71088	-48.00071	6.47
-15.70659	-48.00916	6.09
-15.70195	-48.01726	6.19
-15.69713	-48.02517	6.93
-15.71481	-47.99232	6.89
-15.71832	-48.00654	5.61
-15.71261	-48.01607	7.83
-15.70886	-48.02261	6.28
-15.70440	-48.03023	6.86
-15.72320	-47.99839	4.57
-19.49358	-44.18600	7.00
-21.01853	-44.21764	5.96
-20.99339	-44.17175	7.42
-21.97725	-47.85489	7.94
-22.83392	-51.71447	9.29
-24.02217	-53.74383	11.30
-23.80806	-53.59033	8.01
-24.10525	-52.35953	4.35
-24.30278	-52.70217	7.54
-25.11192	-50.06375	7.59
-30.10178	-51.69947	7.72
-28.93008	-54.34131	6.11
-29.45872	-54.81883	8.24
-31.36694	-54.00792	6.51
-31.83267	-52.47725	6.10
-28.22503	-52.40664	8.09
-20.51700	-51.57925	4.92
-22.29040	-54.80983	7.36
-12.36972	-52.22472	6.34
-14.62782	-52.38396	5.60
-14.99756	-52.27928	6.26
-19.27961	-48.74947	4.54
-19.17450	-48.16778	4.77
-10.45811	-37.19958	5.80
-10.56300	-37.16378	4.62
-10.21856	-37.32625	9.46
-9.29878	-40.58572	12.26
-7.46522	-40.41953	14.24
-8.50567	-40.71058	14.72
-6.80656	-45.41111	4.06
-9.21047	-45.14831	4.73
-11.44547	-45.60819	4.08
-13.62138	-46.28055	4.60
-13.62132	-46.28975	3.76
-13.61229	-46.28042	3.75
-13.61232	-46.28970	3.79
-13.58517	-46.28038	4.10
-13.58497	-46.28916	5.44
-6.92052	-47.46605	8.22
-6.92910	-47.46286	4.38
-6.96815	-47.44832	6.29
-6.89567	-47.47145	3.09
-6.87196	-47.47439	3.96
-7.12638	-47.42354	2.53
-7.13119	-47.42381	7.36
-7.02410	-47.45400	5.08
-7.09685	-47.43169	7.08
-7.14772	-47.42100	6.42
-7.14705	-47.42006	6.52
-7.20652	-47.42820	8.99
-7.12943	-47.42609	3.56
-7.13496	-47.43163	8.99
-7.42543	-46.71829	4.38
-7.42606	-46.71771	4.35
-7.42185	-46.75515	4.68
-7.42843	-46.78996	3.22
-7.40781	-46.86922	7.52
-7.40982	-47.01145	4.57
-7.41237	-47.09483	3.43
-7.41210	-47.17249	3.88
-7.01889	-47.34185	4.59
-7.01985	-47.34900	4.72
-7.02244	-47.36904	4.65
-7.02384	-47.37851	3.66
-7.00444	-47.43544	3.66
-7.43370	-47.68360	3.14
-7.48897	-47.90043	4.78
-7.33061	-48.31003	2.09
-7.37251	-48.34777	4.82
